id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
SE;SUDESTE;2024-02-06;204615.328125;125942.953125;61.55110168
S;SUL;2024-02-06;20459.2421875;16245.93164063;79.40630341
NE;NORDESTE;2024-02-07;51691.2265625;29595.16210938;57.25370026
N;NORTE;2024-02-07;15302.39648438;9031.53125;59.020401
SE;SUDESTE;2024-02-07;204615.328125;125892.7265625;61.5265007
S;SUL;2024-02-07;20459.2421875;16034.91601563;78.37490082
NE;NORDESTE;2024-02-08;51691.2265625;29768.31054688;57.58869934
N;NORTE;2024-02-08;15302.39648438;9056.52246094;59.18370056
SE;SUDESTE;2024-02-08;204615.328125;125849.8203125;61.50559998
S;SUL;2024-02-08;20459.2421875;15793.47558594;77.19480133
NE;NORDESTE;2024-02-09;51691.2265625;29936.3828125;57.91389847
N;NORTE;2024-02-09;15302.39648438;9062.01074219;59.21960068
SE;SUDESTE;2024-02-09;204615.328125;126011.7265625;61.58470154
S;SUL;2024-02-09;20459.2421875;15590.43945313;76.20240021
NE;NORDESTE;2024-02-10;51691.2265625;30161.56640625;58.34949875
N;NORTE;2024-02-10;15302.39648438;9135.58496094;59.70040131
SE;SUDESTE;2024-02-10;204615.328125;126368.2265625;61.75889969
S;SUL;2024-02-10;20459.2421875;15500.85742188;75.76460266
NE;NORDESTE;2024-02-11;51691.2265625;30341.43554688;58.69749832
N;NORTE;2024-02-11;15302.39648438;9257.55175781;60.49739838
SE;SUDESTE;2024-02-11;204615.328125;126766.078125;61.95339966
S;SUL;2024-02-11;20459.2421875;15416.50585938;75.35230255
NE;NORDESTE;2024-02-12;51691.2265625;30501.1171875;59.00640106
N;NORTE;2024-02-12;15302.39648438;9425.12207031;61.59249878
SE;SUDESTE;2024-02-12;204615.328125;127022.6484375;62.0788002
S;SUL;2024-02-12;20459.2421875;15261.46582031;74.59449768
NE;NORDESTE;2024-02-13;51691.2265625;30638.25585938;59.27170181
N;NORTE;2024-02-13;15302.39648438;9512.88769531;62.16600037
SE;SUDESTE;2024-02-13;204615.328125;127145.4765625;62.13880157
S;SUL;2024-02-13;20459.2421875;15126.26757813;73.93370056
NE;NORDESTE;2024-02-14;51691.2265625;30773.99804688;59.53430176
N;NORTE;2024-02-14;15302.39648438;9565.16113281;62.50759888
SE;SUDESTE;2024-02-14;204615.328125;127141.078125;62.13660049
S;SUL;2024-02-14;20459.2421875;14948.4609375;73.06459808
NE;NORDESTE;2024-02-15;51691.2265625;30928.23828125;59.83269882
N;NORTE;2024-02-15;15302.39648438;9628.38964844;62.92079926
SE;SUDESTE;2024-02-15;204615.328125;127233.7421875;62.18190002
S;SUL;2024-02-15;20459.2421875;14848.27441406;72.57489777
NE;NORDESTE;2024-02-16;51691.2265625;31079.578125;60.12540054
N;NORTE;2024-02-16;15302.39648438;9710.44921875;63.45700073
SE;SUDESTE;2024-02-16;204615.328125;127327.4296875;62.22769928
S;SUL;2024-02-16;20459.2421875;14760.83398438;72.14749908
NE;NORDESTE;2024-02-17;51691.2265625;31253.29492188;60.46149826
N;NORTE;2024-02-17;15302.39648438;9810.20898438;64.10900116
SE;SUDESTE;2024-02-17;204615.328125;127463.4140625;62.2942009
S;SUL;2024-02-17;20459.2421875;14714.00195313;71.91860199
NE;NORDESTE;2024-02-18;51691.2265625;31443.08203125;60.82870102
N;NORTE;2024-02-18;15302.39648438;9899.04980469;64.6894989
SE;SUDESTE;2024-02-18;204615.328125;127720.8828125;62.41999817
S;SUL;2024-02-18;20459.2421875;14727.81835938;71.98609924
NE;NORDESTE;2024-02-19;51691.2265625;31651.828125;61.23249817
N;NORTE;2024-02-19;15302.39648438;9996.75292969;65.32800293
SE;SUDESTE;2024-02-19;204615.328125;127842.21875;62.47930145
S;SUL;2024-02-19;20459.2421875;14640.51074219;71.55940247
NE;NORDESTE;2024-02-20;51691.2265625;31885.87304688;61.68529892
N;NORTE;2024-02-20;15302.39648438;10126.29199219;66.17459869
SE;SUDESTE;2024-02-20;204615.328125;128221.0390625;62.66439819
S;SUL;2024-02-20;20459.2421875;14567.53320313;71.20269775
NE;NORDESTE;2024-02-21;51691.2265625;32089.46875;62.07910156
N;NORTE;2024-02-21;15302.39648438;10293.83789063;67.26950073
SE;SUDESTE;2024-02-21;204615.328125;129059.65625;63.07429886
S;SUL;2024-02-21;20459.2421875;14462.58105469;70.68969727
NE;NORDESTE;2024-02-22;51691.2265625;32355.83984375;62.5945015
N;NORTE;2024-02-22;15302.39648438;10480.69335938;68.4905014
SE;SUDESTE;2024-02-22;204615.328125;129714.4765625;63.39429855
S;SUL;2024-02-22;20459.2421875;14302.78808594;69.90869904
NE;NORDESTE;2024-02-23;51691.2265625;32581.79296875;63.03160095
N;NORTE;2024-02-23;15302.39648438;10610.04199219;69.33580017
SE;SUDESTE;2024-02-23;204615.328125;130290.875;63.67599869
S;SUL;2024-02-23;20459.2421875;14115.56542969;68.99359894
NE;NORDESTE;2024-02-24;51691.2265625;32849.84765625;63.55009842
N;NORTE;2024-02-24;15302.39648438;10800.87695313;70.582901
SE;SUDESTE;2024-02-24;204615.328125;131110.078125;64.07640076
S;SUL;2024-02-24;20459.2421875;14097.43457031;68.90499878
NE;NORDESTE;2024-02-25;51691.2265625;33127.16796875;64.08660126
N;NORTE;2024-02-25;15302.39648438;10984.53222656;71.78309631
SE;SUDESTE;2024-02-25;204615.328125;131828.515625;64.42749786
S;SUL;2024-02-25;20459.2421875;14089.71386719;68.86720276
NE;NORDESTE;2024-02-26;51691.2265625;33369.14453125;64.55480194
N;NORTE;2024-02-26;15302.39648438;11199.43554688;73.1875
SE;SUDESTE;2024-02-26;204615.328125;132223.046875;64.62030029
S;SUL;2024-02-26;20459.2421875;14011.80371094;68.48639679
NE;NORDESTE;2024-02-27;51691.2265625;33546.4375;64.89769745
N;NORTE;2024-02-27;15302.39648438;11455.57910156;74.86129761
SE;SUDESTE;2024-02-27;204615.328125;132384.078125;64.6989975
S;SUL;2024-02-27;20459.2421875;13979.74609375;68.32969666
NE;NORDESTE;2024-02-28;51691.2265625;33714.03125;65.22200012
N;NORTE;2024-02-28;15302.39648438;11698.53613281;76.4489975
SE;SUDESTE;2024-02-28;204615.328125;132287.828125;64.65200043
S;SUL;2024-02-28;20459.2421875;13884.92382813;67.86630249
NE;NORDESTE;2024-02-29;51691.2265625;33853.73046875;65.49220276
N;NORTE;2024-02-29;15302.39648438;11933.69238281;77.9858017
SE;SUDESTE;2024-02-29;204615.328125;132033.96875;64.5279007
