din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-03 08:00:00;N;NORTE;SE;SUDESTE;2864.008
2025-01-03 08:00:00;NE;NORDESTE;SE;SUDESTE;5602.767
2025-01-03 08:00:00;SE;SUDESTE;S;SUL;2668.117
2025-01-03 09:00:00;N;NORTE;NE;NORDESTE;-4100.548
2025-01-03 09:00:00;N;NORTE;SE;SUDESTE;2622.639
2025-01-03 09:00:00;NE;NORDESTE;SE;SUDESTE;4630.82399999
2025-01-03 09:00:00;SE;SUDESTE;S;SUL;2299.664
2025-01-03 10:00:00;N;NORTE;NE;NORDESTE;-3572.512
2025-01-03 10:00:00;N;NORTE;SE;SUDESTE;2267.543
2025-01-03 10:00:00;NE;NORDESTE;SE;SUDESTE;3799.671
2025-01-03 10:00:00;SE;SUDESTE;S;SUL;1662.874
2025-01-03 11:00:00;N;NORTE;NE;NORDESTE;-3218.608
2025-01-03 11:00:00;N;NORTE;SE;SUDESTE;1999.844
2025-01-03 11:00:00;NE;NORDESTE;SE;SUDESTE;2924.185
2025-01-03 11:00:00;SE;SUDESTE;S;SUL;1810.702
2025-01-03 12:00:00;N;NORTE;NE;NORDESTE;-3022.149
2025-01-03 12:00:00;N;NORTE;SE;SUDESTE;1934.431
2025-01-03 12:00:00;NE;NORDESTE;SE;SUDESTE;2324.38299999
2025-01-03 12:00:00;SE;SUDESTE;S;SUL;1654.231
2025-01-03 13:00:00;N;NORTE;NE;NORDESTE;-2610.766
2025-01-03 13:00:00;N;NORTE;SE;SUDESTE;2356.279
2025-01-03 13:00:00;NE;NORDESTE;SE;SUDESTE;2650.855
2025-01-03 13:00:00;SE;SUDESTE;S;SUL;2315.628
2025-01-03 14:00:00;N;NORTE;NE;NORDESTE;-2139.463
2025-01-03 14:00:00;N;NORTE;SE;SUDESTE;2412.876
2025-01-03 14:00:00;NE;NORDESTE;SE;SUDESTE;2258.004
2025-01-03 14:00:00;SE;SUDESTE;S;SUL;1101.616
2025-01-03 15:00:00;N;NORTE;NE;NORDESTE;-1548.56
2025-01-03 15:00:00;N;NORTE;SE;SUDESTE;2890.542
2025-01-03 15:00:00;NE;NORDESTE;SE;SUDESTE;1549.918
2025-01-03 15:00:00;SE;SUDESTE;S;SUL;560.711
2025-01-03 16:00:00;N;NORTE;NE;NORDESTE;-451.367
2025-01-03 16:00:00;N;NORTE;SE;SUDESTE;3079.551
2025-01-03 16:00:00;NE;NORDESTE;SE;SUDESTE;1670.5
2025-01-03 16:00:00;SE;SUDESTE;S;SUL;65.521
2025-01-03 17:00:00;N;NORTE;NE;NORDESTE;176.905
2025-01-03 17:00:00;N;NORTE;SE;SUDESTE;3477.012
2025-01-03 17:00:00;NE;NORDESTE;SE;SUDESTE;2329.353
2025-01-03 17:00:00;SE;SUDESTE;S;SUL;662.04499999
