id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2024-01-23;7551.97021484;47.70050049;7465.45117188;47.15409851
NE;NORDESTE;2024-01-23;8771.2265625;65.07160187;8771.2265625;65.07160187
S;SUL;2024-01-23;14732.30273438;195.18809509;12453.26660156;164.99319458
SE;SUDESTE;2024-01-23;37860.59375;57.53749847;37295.51171875;56.67869949
N;NORTE;2024-01-24;7707.73388672;48.68439865;7593.75195313;47.96440125
NE;NORDESTE;2024-01-24;9379.13085938;69.58149719;9379.13085938;69.58149719
S;SUL;2024-01-24;13450.09375;178.20019531;11834.94335938;156.80099487
SE;SUDESTE;2024-01-24;39300.828125;59.7262001;38396.56640625;58.35200119
N;NORTE;2024-01-25;7853.92578125;49.60779953;7675.50292969;48.48080063
NE;NORDESTE;2024-01-25;10126.24902344;75.12419891;10126.24902344;75.12419891
S;SUL;2024-01-25;12878.08496094;170.62159729;11460.90429688;151.84539795
SE;SUDESTE;2024-01-25;41867.4921875;63.62689972;40156.1796875;61.02610016
N;NORTE;2024-01-26;8239.08691406;52.04059982;8054.40917969;50.87409973
NE;NORDESTE;2024-01-26;10982.24804688;81.47460175;10940.06347656;81.16159821
S;SUL;2024-01-26;11752.77441406;155.71240234;10640.13671875;140.97109985
SE;SUDESTE;2024-01-26;43323.33203125;65.83930206;41587.484375;63.20130157
N;NORTE;2024-01-27;8578.97851563;54.18740082;8385.65722656;52.96640015
NE;NORDESTE;2024-01-27;11666.79589844;86.55310059;11450.15136719;84.94589996
S;SUL;2024-01-27;11123.71777344;147.37800598;10467.43554688;138.68299866
SE;SUDESTE;2024-01-27;43803.55859375;66.56909943;42046.2109375;63.89849854
N;NORTE;2024-01-28;9111.59863281;57.55160141;8903.13671875;56.23490143
NE;NORDESTE;2024-01-28;11881.50976563;88.14600372;11489.69042969;85.23919678
S;SUL;2024-01-28;11130.86132813;147.47270203;10527.22070313;139.4750061
SE;SUDESTE;2024-01-28;43827.01171875;66.60479736;40546.33984375;61.61909866
N;NORTE;2024-01-29;9449.125;59.68349838;9321.140625;58.87519836
NE;NORDESTE;2024-01-29;12304.7265625;91.28579712;11846.41210938;87.88559723
S;SUL;2024-01-29;11265.54980469;149.25720215;10504.15234375;139.16940308
SE;SUDESTE;2024-01-29;42952.98828125;65.27649689;40135.97265625;60.99539948
N;NORTE;2024-01-30;10044.7421875;63.4455986;9703.34472656;61.28929901
NE;NORDESTE;2024-01-30;12316.1015625;91.37010193;11990.77734375;88.95659637
S;SUL;2024-01-30;10879.76855469;144.14599609;10222.17773438;135.4335022
SE;SUDESTE;2024-01-30;41628.65625;63.26390076;39078.43359375;59.38830185
N;NORTE;2024-01-31;10845.82519531;68.50550079;10423.25878906;65.83650208
NE;NORDESTE;2024-01-31;11702.62207031;86.81890106;11383.01660156;84.44779968
S;SUL;2024-01-31;9716.44238281;128.73300171;9331.66894531;123.6352005
SE;SUDESTE;2024-01-31;40822.8828125;62.03929901;38554.25;58.59170151
N;NORTE;2024-02-01;11964.02734375;52.44940186;11533.29003906;50.56100082
NE;NORDESTE;2024-02-01;9918.32617188;69.65950012;9486.46582031;66.62640381
S;SUL;2024-02-01;8522.89355469;103.03630066;8270.07421875;99.97989655
SE;SUDESTE;2024-02-01;39670.359375;55.95679855;38329.734375;54.06579971
N;NORTE;2024-02-02;13109.07910156;57.46920013;12672.76269531;55.5564003
NE;NORDESTE;2024-02-02;8248.0703125;57.92879868;8066.45996094;56.65330124
S;SUL;2024-02-02;7714.39990234;93.26210022;7497.38720703;90.63860321
SE;SUDESTE;2024-02-02;39223.52734375;55.32649994;38341.06640625;54.08179855
N;NORTE;2024-02-03;14300.25390625;62.69120026;14160.21875;62.07730103
NE;NORDESTE;2024-02-03;7631.71777344;53.59989929;7583.81298828;53.26350021
S;SUL;2024-02-03;7095.72607422;85.78279877;6904.44287109;83.47029877
SE;SUDESTE;2024-02-03;38671.83203125;54.5483017;37329.375;52.65480042
N;NORTE;2024-02-04;15116.09765625;66.26779938;14697.6171875;64.43319702
NE;NORDESTE;2024-02-04;7273.37597656;51.08319855;7161.12109375;50.2947998
S;SUL;2024-02-04;6627.80712891;80.12590027;6421.83886719;77.6359024
SE;SUDESTE;2024-02-04;37910.296875;53.4742012;35765.69921875;50.44910049
N;NORTE;2024-02-05;15402.52734375;67.52349854;15353.1640625;67.30709839
NE;NORDESTE;2024-02-05;7094.64697266;49.82789993;7094.64697266;49.82789993
S;SUL;2024-02-05;6251.21289063;75.57309723;6139.82080078;74.22650146
SE;SUDESTE;2024-02-05;36952.5390625;52.12319946;36527.48046875;51.52360153
N;NORTE;2024-02-06;15366.65527344;67.36620331;15318.90820313;67.1568985
NE;NORDESTE;2024-02-06;7182.06494141;50.44189835;7182.06494141;50.44189835
S;SUL;2024-02-06;6042.92822266;73.05509949;5873.10595703;71.00209808
SE;SUDESTE;2024-02-06;36564.828125;51.57630157;36266.8828125;51.15610123
N;NORTE;2024-02-07;15356.92773438;67.32360077;15314.02734375;67.13549805
NE;NORDESTE;2024-02-07;7521.56201172;52.82630157;7521.56201172;52.82630157
S;SUL;2024-02-07;5763.17675781;69.67310333;5580.58300781;67.46569824
SE;SUDESTE;2024-02-07;36682.2734375;51.74200058;36494.265625;51.47679901
N;NORTE;2024-02-08;15371.47558594;67.38739777;15334.67871094;67.22599792
NE;NORDESTE;2024-02-08;7949.69677734;55.83319855;7948.98193359;55.82820129
S;SUL;2024-02-08;5557.47119141;67.186203;5334.02685547;64.48500061
SE;SUDESTE;2024-02-08;37487.58203125;52.87789917;37257.02734375;52.55270004
N;NORTE;2024-02-09;15404.38964844;67.53160095;15340.48828125;67.25150299
NE;NORDESTE;2024-02-09;8348.98144531;58.63750076;8348.98144531;58.63750076
S;SUL;2024-02-09;5403.90917969;65.32980347;5213.95703125;63.03340149
SE;SUDESTE;2024-02-09;38553.87890625;54.38199997;38322.6484375;54.05580139
N;NORTE;2024-02-10;15474.95996094;67.84100342;15405.31445313;67.53569794
NE;NORDESTE;2024-02-10;8576.39453125;60.23469925;8576.39453125;60.23469925
S;SUL;2024-02-10;5197.14404297;62.83010101;5029.96582031;60.8091011
SE;SUDESTE;2024-02-10;39303.7734375;55.43970108;39030.19140625;55.05379868
N;NORTE;2024-02-11;15501.60742188;67.95780182;15418.41210938;67.5931015
NE;NORDESTE;2024-02-11;8892.78222656;62.45679855;8892.78222656;62.45679855
S;SUL;2024-02-11;4936.95898438;59.68470001;4789.33398438;57.90000153
SE;SUDESTE;2024-02-11;39624.578125;55.89220047;37957.32421875;53.54050064
